-0.6423, 0.0502, 0.0133
-0.5699, 0.0494, -0.0263
-0.5005, 0.0491, -0.0725
-0.4342, 0.0491, -0.1281
-0.3622, 0.0486, -0.2155
-0.2938, 0.0484, -0.3348
-0.2280, 0.0480, -0.5145
-0.1644, 0.0476, -0.8213
-0.1029, 0.0472, -1.4745
-0.0463, 0.0464, 8.0526
0.0103, 0.0456, 17.5796
0.0606, 0.0440, 3.1689
0.1100, 0.0403, 1.8484
0.2122, 0.0382, 1.1094
0.3390, 0.0343, 0.8172
0.3171, 0.0370, 0.8168
0.4081, 0.0326, 0.6996
0.4554, 0.0328, 0.6479
0.5054, 0.0330, 0.6047
0.5565, 0.0333, 0.5689
0.6075, 0.0335, 0.5390
0.6590, 0.0338, 0.5136
0.7100, 0.0341, 0.4920
0.7618, 0.0343, 0.4730
0.8129, 0.0346, 0.4565
0.8632, 0.0350, 0.4419
0.9144, 0.0353, 0.4288
0.9654, 0.0356, 0.4171
1.0157, 0.0359, 0.4065
1.0653, 0.0363, 0.3969
1.1157, 0.0367, 0.3880
1.1655, 0.0370, 0.3799
1.2146, 0.0374, 0.3724
1.2625, 0.0379, 0.3654
1.3111, 0.0383, 0.3588
1.3596, 0.0387, 0.3527
1.4076, 0.0391, 0.3469
1.4543, 0.0396, 0.3415
1.5002, 0.0402, 0.3363
1.5448, 0.0409, 0.3313
1.5909, 0.0413, 0.3266
1.6363, 0.0419, 0.3221
1.6806, 0.0425, 0.3178
1.7228, 0.0433, 0.3136
1.7627, 0.0442, 0.3094
1.8008, 0.0453, 0.3054
1.8417, 0.0461, 0.3016
1.8815, 0.0469, 0.2979
1.9189, 0.0479, 0.2942
1.9541, 0.0490, 0.2906
1.9864, 0.0504, 0.2869
2.0119, 0.0524, 0.2832
2.0307, 0.0549, 0.2795
2.0483, 0.0577, 0.2759
2.0707, 0.0600, 0.2725
2.0947, 0.0622, 0.2692
2.1152, 0.0647, 0.2660
2.1291, 0.0679, 0.2629
2.1365, 0.0718, 0.2599
2.1372, 0.0767, 0.2571
2.1261, 0.0832, 0.2548
2.1218, 0.0892, 0.2529
2.1201, 0.0949, 0.2512
2.1123, 0.1014, 0.2500
2.0917, 0.1099, 0.2497
2.0575, 0.1203, 0.2505
2.0070, 0.1334, 0.2529
1.9493, 0.1476, 0.2565
1.9219, 0.1573, 0.2584
1.8886, 0.1678, 0.2611
1.8465, 0.1799, 0.2652
1.7981, 0.1930, 0.2705
1.7796, 0.2004, 0.2728
1.7522, 0.2093, 0.2765
1.7198, 0.2194, 0.2813
1.7074, 0.2260, 0.2833
1.6911, 0.2335, 0.2861
1.6748, 0.2410, 0.2889
1.6430, 0.2519, 0.2947
1.6436, 0.2562, 0.2948
1.6412, 0.2611, 0.2954
1.6141, 0.2715, 0.3008
1.6164, 0.2753, 0.3005
