-0.4847, 0.0636, -0.0607
-0.4093, 0.0635, -0.1728
-0.3340, 0.0633, -0.2848
-0.2586, 0.0632, -0.3969
-0.1817, 0.0633, -0.7009
-0.1063, 0.0632, -1.4215
-0.0344, 0.0633, -5.0228
0.0378, 0.0616, -4.3164
0.1100, 0.0599, -3.6099
0.1822, 0.0582, -2.9035
0.2544, 0.0566, -2.1970
0.3266, 0.0549, -1.4906
0.3988, 0.0532, -0.7842
0.4710, 0.0515, -0.0777
0.5432, 0.0498, 0.6287
0.6002, 0.0498, 0.5920
0.6537, 0.0500, 0.5621
0.7088, 0.0504, 0.5365
0.7612, 0.0507, 0.5147
0.8146, 0.0511, 0.4956
0.8670, 0.0514, 0.4788
0.9190, 0.0518, 0.4638
0.9712, 0.0522, 0.4505
1.0220, 0.0525, 0.4384
1.0738, 0.0529, 0.4274
1.1245, 0.0533, 0.4174
1.1744, 0.0537, 0.4081
1.2238, 0.0540, 0.3996
1.2730, 0.0544, 0.3916
1.3211, 0.0548, 0.3842
1.3690, 0.0552, 0.3773
1.4156, 0.0555, 0.3707
1.4622, 0.0560, 0.3645
1.5081, 0.0564, 0.3586
1.5527, 0.0569, 0.3530
1.5972, 0.0574, 0.3477
1.6391, 0.0580, 0.3425
1.6807, 0.0587, 0.3376
1.7235, 0.0593, 0.3329
1.7644, 0.0600, 0.3283
1.8031, 0.0607, 0.3238
1.8404, 0.0615, 0.3194
1.8760, 0.0626, 0.3152
1.9101, 0.0638, 0.3111
1.9442, 0.0647, 0.3070
1.9768, 0.0658, 0.3030
2.0066, 0.0670, 0.2990
2.0312, 0.0688, 0.2950
2.0572, 0.0705, 0.2912
2.0823, 0.0725, 0.2876
2.1000, 0.0751, 0.2839
2.1067, 0.0786, 0.2801
2.1225, 0.0812, 0.2765
2.1398, 0.0836, 0.2732
2.1539, 0.0864, 0.2699
2.1657, 0.0894, 0.2668
2.1700, 0.0934, 0.2639
2.1675, 0.0982, 0.2613
2.1538, 0.1045, 0.2592
2.1419, 0.1108, 0.2575
2.1415, 0.1157, 0.2559
2.1351, 0.1213, 0.2546
2.1185, 0.1282, 0.2541
2.0938, 0.1361, 0.2543
2.0532, 0.1463, 0.2559
2.0013, 0.1583, 0.2589
1.9723, 0.1669, 0.2606
1.9464, 0.1748, 0.2623
1.9166, 0.1828, 0.2647
1.8801, 0.1919, 0.2681
1.8360, 0.2026, 0.2730
1.8079, 0.2110, 0.2762
1.7961, 0.2167, 0.2774
1.7627, 0.2263, 0.2819
1.7512, 0.2321, 0.2832
1.7223, 0.2414, 0.2876
1.7171, 0.2461, 0.2882
1.6869, 0.2561, 0.2933
1.6855, 0.2601, 0.2933
1.6792, 0.2652, 0.2942
1.6556, 0.2742, 0.2985
1.6557, 0.2778, 0.2982
1.6527, 0.2820, 0.2984
